,d_1883,d_1883,d_1883,d_1883,d_1883,d_1883,d_1883,d_1883,d_1884,d_1884,d_1884,d_1884,d_1884,d_1884,d_1884,d_1884,d_1885,d_1885,d_1885,d_1885,d_1885,d_1885,d_1885,d_1885,d_1886,d_1886,d_1886,d_1886,d_1886,d_1886,d_1886,d_1886,d_1887,d_1887,d_1887,d_1887,d_1887,d_1887,d_1887,d_1887,d_1888,d_1888,d_1888,d_1888,d_1888,d_1888,d_1888,d_1888,d_1889,d_1889,d_1889,d_1889,d_1889,d_1889,d_1889,d_1889,d_1890,d_1890,d_1890,d_1890,d_1890,d_1890,d_1890,d_1890,d_1891,d_1891,d_1891,d_1891,d_1891,d_1891,d_1891,d_1891,d_1892,d_1892,d_1892,d_1892,d_1892,d_1892,d_1892,d_1892,d_1893,d_1893,d_1893,d_1893,d_1893,d_1893,d_1893,d_1893,d_1894,d_1894,d_1894,d_1894,d_1894,d_1894,d_1894,d_1894,d_1895,d_1895,d_1895,d_1895,d_1895,d_1895,d_1895,d_1895,d_1896,d_1896,d_1896,d_1896,d_1896,d_1896,d_1896,d_1896,d_1897,d_1897,d_1897,d_1897,d_1897,d_1897,d_1897,d_1897,d_1898,d_1898,d_1898,d_1898,d_1898,d_1898,d_1898,d_1898,d_1899,d_1899,d_1899,d_1899,d_1899,d_1899,d_1899,d_1899,d_1900,d_1900,d_1900,d_1900,d_1900,d_1900,d_1900,d_1900,d_1901,d_1901,d_1901,d_1901,d_1901,d_1901,d_1901,d_1901,d_1902,d_1902,d_1902,d_1902,d_1902,d_1902,d_1902,d_1902,d_1903,d_1903,d_1903,d_1903,d_1903,d_1903,d_1903,d_1903,d_1904,d_1904,d_1904,d_1904,d_1904,d_1904,d_1904,d_1904,d_1905,d_1905,d_1905,d_1905,d_1905,d_1905,d_1905,d_1905,d_1906,d_1906,d_1906,d_1906,d_1906,d_1906,d_1906,d_1906,d_1907,d_1907,d_1907,d_1907,d_1907,d_1907,d_1907,d_1907,d_1908,d_1908,d_1908,d_1908,d_1908,d_1908,d_1908,d_1908,d_1909,d_1909,d_1909,d_1909,d_1909,d_1909,d_1909,d_1909,d_1910,d_1910,d_1910,d_1910,d_1910,d_1910,d_1910,d_1910,d_1911,d_1911,d_1911,d_1911,d_1911,d_1911,d_1911,d_1911,d_1912,d_1912,d_1912,d_1912,d_1912,d_1912,d_1912,d_1912,d_1913,d_1913,d_1913,d_1913,d_1913,d_1913,d_1913,d_1913,sum,sum,sum,sum,sum,sum,sum,sum
FOODS_3_374,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
FOODS_3_380,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_381,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
FOODS_3_396,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_408,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_419,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
FOODS_3_421,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_427,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_441,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
FOODS_3_442,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_443,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_444,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
FOODS_3_454,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_466,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
FOODS_3_479,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_483,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
FOODS_3_489,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_508,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_522,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_524,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_530,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_538,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FOODS_3_548,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_549,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_3_556,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
